state,year,industry_name,total_emp,all_emp_tot,pct_emp
Delaware,2017,Utilities,26325,1280851,2.0552741888010395
Delaware,2017,"Agriculture, Forestry, Fishing & Hunting",0,1280851,0
Delaware,2017,"Mining, Quarrying, & Oil and Gas Extraction",0,1280851,0
Delaware,2017,Manufacturing,311141,1280851,24.291740413209656
Delaware,2018,Transportation & Warehousing,183507,1329763,13.799977890797082
Delaware,2018,Accomodation & Food Services,511062,1329763,38.432562795024374
Delaware,2018,Construction,284815,1329763,21.418478330349092
Delaware,2018,Utilities,25458,1329763,1.9144764894195432
Delaware,2018,"Agriculture, Forestry, Fishing & Hunting",0,1329763,0
Delaware,2018,"Mining, Quarrying, & Oil and Gas Extraction",0,1329763,0
Delaware,2018,Manufacturing,324921,1329763,24.434504494409907
Delaware,2019,Transportation & Warehousing,199656,1364231,14.635058138980861
Delaware,2019,Accomodation & Food Services,518533,1364231,38.0091787974324
Delaware,2019,Construction,293583,1364231,21.52003582970919
Delaware,2019,Utilities,24889,1364231,1.82439777427723
Delaware,2019,"Agriculture, Forestry, Fishing & Hunting",0,1364231,0
Delaware,2019,"Mining, Quarrying, & Oil and Gas Extraction",0,1364231,0
Delaware,2019,Manufacturing,327570,1364231,24.01132945960032
Delaware,2020,Manufacturing,306241,1248719,24.524412618050977
Delaware,2020,Transportation & Warehousing,210619,1248719,16.866805101868394
Delaware,2020,Accomodation & Food Services,404030,1248719,32.35555797581362
Delaware,2020,Construction,287300,1248719,23.007578166104626
Delaware,2020,Utilities,24724,1248719,1.9799490517882725
Delaware,2020,"Agriculture, Forestry, Fishing & Hunting",14969,1248719,1.1987484774396802
Delaware,2020,"Mining, Quarrying, & Oil and Gas Extraction",836,1248719,0.06694860893443601
Delaware,2021,Manufacturing,299543,1320319,22.687168782695696
Delaware,2021,Transportation & Warehousing,230967,1320319,17.493272459155705
Delaware,2021,Accomodation & Food Services,453683,1320319,34.36162018421306
Delaware,2021,Construction,296956,1320319,22.491231285772606
Delaware,2021,Utilities,24732,1320319,1.873183677580948
Delaware,2021,"Agriculture, Forestry, Fishing & Hunting",13591,1320319,1.0293724471131598
Delaware,2021,"Mining, Quarrying, & Oil and Gas Extraction",847,1320319,0.06415116346882838
Delaware,2022,Manufacturing,314719,1428493,22.03153953152028
Delaware,2022,Transportation & Warehousing,277679,1428493,19.438597178985127
Delaware,2022,Accomodation & Food Services,496845,1428493,34.78105948016546
Delaware,2022,Construction,299979,1428493,20.999682882590253
Delaware,2022,Utilities,24284,1428493,1.6999733285357366
Delaware,2022,"Agriculture, Forestry, Fishing & Hunting",14082,1428493,0.9857941200971934
Delaware,2022,"Mining, Quarrying, & Oil and Gas Extraction",905,1428493,0.06335347810594802
Florida,2015,"Agriculture, Forestry, Fishing & Hunting",914456,25013284,3.655881410853529
Florida,2015,Construction,5176951,25013284,20.696806544874317
Florida,2015,Transportation & Warehousing,3339113,25013284,13.34935868476926
Florida,2015,Accomodation & Food Services,11084760,25013284,44.315492519894626
Florida,2015,Utilities,340322,25013284,1.3605650501549498
Florida,2015,"Mining, Quarrying, & Oil and Gas Extraction",49119,25013284,0.19637165595689077
Florida,2015,Manufacturing,4108563,25013284,16.425524133496424
Florida,2016,"Agriculture, Forestry, Fishing & Hunting",900311,26294258,3.4239832894314794
Florida,2016,Transportation & Warehousing,3493764,26294258,13.287174713201644
Florida,2016,Accomodation & Food Services,11506226,26294258,43.7594626172756
Florida,2016,Construction,5738414,26294258,21.82382936989513
Florida,2016,Utilities,347083,26294258,1.3199954149685456
Florida,2016,"Mining, Quarrying, & Oil and Gas Extraction",50107,26294258,0.19056251748955988
Florida,2016,Manufacturing,4258353,26294258,16.19499207773804
Florida,2017,"Agriculture, Forestry, Fishing & Hunting",861013,27016920,3.186939888040532
Florida,2017,Construction,6056694,27016920,22.418151291857104
Florida,2017,Transportation & Warehousing,3595113,27016920,13.306894346209708
Florida,2017,Accomodation & Food Services,11748211,27016920,43.484642216803394
Florida,2017,Utilities,349424,27016920,1.2933524620867218
Florida,2017,"Mining, Quarrying, & Oil and Gas Extraction",48822,27016920,0.18070897792938648
Florida,2017,Manufacturing,4357643,27016920,16.129310817073154
Florida,2018,"Agriculture, Forestry, Fishing & Hunting",820526,28004300,2.930000035708802
Florida,2018,Transportation & Warehousing,3804311,28004300,13.584738772259975
Florida,2018,Accomodation & Food Services,12025387,28004300,42.941216170373835
Florida,2018,Construction,6493190,28004300,23.18640351660281
Florida,2018,Utilities,352157,28004300,1.2575104537517452
Florida,2018,"Mining, Quarrying, & Oil and Gas Extraction",49655,28004300,0.1773120556485968
Florida,2018,Manufacturing,4459074,28004300,15.92281899565424
Florida,2019,"Agriculture, Forestry, Fishing & Hunting",807350,29143007,2.77030438211129
Florida,2019,Construction,6762439,29143007,23.204328228723963
Florida,2019,Transportation & Warehousing,4295009,29143007,14.737700196825948
Florida,2019,Accomodation & Food Services,12277752,29143007,42.12932454087528
Florida,2019,Utilities,344281,29143007,1.1813502978604782
Florida,2019,"Mining, Quarrying, & Oil and Gas Extraction",48699,29143007,0.16710355249202666
Florida,2019,Manufacturing,4607477,29143007,15.809888801111018
